ProbenNrPseud,Target_Adverse,PnMgT,MatrixGrT,MatrixT,BetriebsartT,Country_Feature,Processing_Feature,Packaging_Feature,Sampling_Date,Sampling_Month
5089,0,EG(KKP)- und Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Zwiebel,Metzgereifiliale Fleischereifiliale und (eigenständige) -verkaufsabteilung,Deutschland,Unverarbeitet/roh,Gewebe aus Kunstfaser,2023-03-07,3
5090,0,Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Gurke,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Spanien,Unverarbeitet/roh,Kunststoff/-folie,2023-02-15,2
5091,0,EG(KKP)- und Monitoring-Planprobe,Frischobst einschließlich Rhabarber,Orange,Metzgereifiliale Fleischereifiliale und (eigenständige) -verkaufsabteilung,Griechenland,Unverarbeitet/roh,Kunststoff/-folie,2023-02-14,2
5092,0,Monitoring-Planprobe,Fleisch warmblütiger Tiere auch tiefgefroren,Fleischteilstück Ente auch tiefgefroren,Dienstleistungsbetriebe,Vereinigtes Königreich,Keine Angabe,Missing,2023-04-04,4
5093,0,Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Kürbis,"Hersteller von Rohkost (rohe, vorzerkleinerte, verzehrfertige Obst-/Gemüseer-","Frankreich, einschl. Korsika",Unverarbeitet/roh,Umhüllt,2023-11-29,11
5094,0,Monitoring-Planprobe,Frischobst einschließlich Rhabarber,Johannisbeere rot,Lebensmittellager Zentrallager,Deutschland,Unverarbeitet/roh,Keine Angabe,2023-07-12,7
5095,0,Monitoring-Planprobe,Krusten- Schalen- Weichtiere sonstige Tiere u. Erzeugnisse daraus,Geißelgarnele (Penaeidae sp.),Metzgereifiliale Fleischereifiliale und (eigenständige) -verkaufsabteilung,"Indien, einschl. Sikkim und Goa",Tiefgekühlt/tiefgefroren,Verpackt,2023-07-31,7
5096,0,EG(KKP)- und Monitoring-Planprobe,Fleisch warmblütiger Tiere auch tiefgefroren,Tierkörper ganzer Ente auch tiefgefroren,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Ungarn,Unverarbeitet/roh,Verpackt unter Vakuum,2023-04-04,4
5097,0,Monitoring-Planprobe,Hülsenfrüchte Ölsamen Schalenobst,Leinsamen,Drogerie/Parfümerie,"Indien, einschl. Sikkim und Goa",Gemahlen/geschrotet,Kunststoff/-folie,2023-05-08,5
5098,0,Monitoring-Planprobe,Getreide,Langkornreis,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Ungeklärt,Ungeschält,Kunststoff/-folie,2023-07-11,7
5100,0,Monitoring-Planprobe,Fische und Fischzuschnitte,Kabeljau Filet,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Deutschland,Ohne Haut,Verpackt,2023-03-14,3
5101,0,Monitoring-Planprobe,Frischobst einschließlich Rhabarber,Süßkirsche,Direktvermarkter/Verkaufsstelle Obst und Gemüse,Deutschland,Unverarbeitet/roh,Unverpackt,2023-07-11,7
5103,0,EG(KKP)- und Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Blumenkohl,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Deutschland,Keine Angabe,Keine Angabe,2023-08-30,8
5104,0,Monitoring-Planprobe,Hülsenfrüchte Ölsamen Schalenobst,Leinsamen aufgebrochen/geschrotet,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),"Indien, einschl. Sikkim und Goa",Gemahlen/geschrotet,Kunststoff/-folie,2023-03-20,3
5105,0,Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Gurke,Großhändler von Obst und Gemüse und -erzeugnissen,Deutschland,Unverarbeitet/roh,Keine Angabe,2023-08-01,8
5106,0,Monitoring-Planprobe,Frischobst einschließlich Rhabarber,Mandarine,Lebensmittellager Zentrallager,Spanien,Keine Angabe,Keine Angabe,2023-01-16,1
5107,0,EG(KKP)- und Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Zwiebel,Einzelhändler,Deutschland,Unverarbeitet/roh,Keine Angabe,2023-09-29,9
5108,0,Monitoring-Planprobe,Frischobst einschließlich Rhabarber,Birne,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Deutschland,Unverarbeitet/roh,Kunststoff/-folie,2023-10-04,10
5109,0,Monitoring-Planprobe,Getreideprodukte Backvormischungen Brotteige Massen und Teige für,Dinkelmehl Type 1050,Mühlenbetrieb,Deutschland,Keine Angabe,Kunststoff/-folie,2023-06-28,6
5110,0,EG(KKP)- und Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Mohrrübe; Karotte; Möhre,Einzelhändler,Deutschland,Unverarbeitet/roh,Kunststoff/-folie,2023-03-16,3
5111,0,EG(KKP)- und Monitoring-Planprobe,Hülsenfrüchte Ölsamen Schalenobst,Bohne weiß,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Ungeklärt,Unverarbeitet/roh,Verpackt,2023-05-16,5
5112,0,Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Gurke,Marktstand,Spanien,Unverarbeitet/roh,Papier,2023-02-22,2
