ProbenNrPseud,Target_Adverse,PnMgT,MatrixGrT,MatrixT,BetriebsartT,Country_Feature,Processing_Feature,Packaging_Feature,Sampling_Date,Sampling_Month
2,0,Monitoring-Planprobe,Hülsenfrüchte Ölsamen Schalenobst,Leinsamen aufgebrochen/geschrotet,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Ungeklärt,Gemahlen/geschrotet,Verpackt,2023-08-28,8
3,0,EG(KKP)- und Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Blumenkohl,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Deutschland,Unverarbeitet/roh,Unverpackt,2023-09-28,9
4,0,Monitoring-Planprobe,Obstprodukte ausgenommen 310000 und 410000 einschl. Rhabarber,Dattel getrocknet,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Algerien,Getrocknet,Karton/Pappe,2023-11-16,11
5,1,EG(KKP)- und Monitoring-Planprobe,Frischobst einschließlich Rhabarber,Orange,Großhändler von Obst und Gemüse und -erzeugnissen,Australien und Ozeanien,Keine Angabe,Keine Angabe,2023-10-10,10
6,0,Monitoring-Planprobe,Fleisch warmblütiger Tiere auch tiefgefroren,Fleischteilstück Wildschwein auch tiefgefroren,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Deutschland,Unverarbeitet/roh,Verpackt unter Vakuum,2023-04-25,4
7,0,Monitoring-Planprobe,Gewürze,Pfeffer schwarz Fruchtgewürz,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Ohne Angabe,Gemahlen/geschrotet,Glas,2023-05-10,5
8,0,Monitoring-Planprobe,Fleisch warmblütiger Tiere auch tiefgefroren,Fleischteilstück Ente auch tiefgefroren,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),"Frankreich, einschl. Korsika",Keine Angabe,Kunststoff/-folie,2023-10-24,10
9,0,EG(KKP)- und Monitoring-Planprobe,Kartoffeln und stärkereiche Pflanzenteile,Kartoffel festkochend (Salatware),Großhändler von Obst und Gemüse und -erzeugnissen,Deutschland,Unverarbeitet/roh,Gewebe aus Kunstfaser,2023-05-15,5
10,0,EG(KKP)- und Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Blumenkohl,Lebensmittellager Zentrallager,"Frankreich, einschl. Korsika",Unverarbeitet/roh,Umhüllt,2023-01-20,1
11,0,Monitoring-Planprobe,Hülsenfrüchte Ölsamen Schalenobst,Erdnuss geröstet mit Schale,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Israel,Keine Angabe,Kunststoff/-folie,2023-10-19,10
12,0,Monitoring-Planprobe,Krusten- Schalen- Weichtiere sonstige Tiere u. Erzeugnisse daraus,Geißelgarnele (Penaeidae sp.),Fisch- Krusten- Schalen- und Weichtierbe- und -verarbeitungsbetrieb,Deutschland,Ungeschält,Kunststoff/-folie,2023-03-29,3
14,0,EG(KKP)- und Monitoring-Planprobe,Frischobst einschließlich Rhabarber,Birne,Lebensmittellager Zentrallager,Niederlande,Keine Angabe,Keine Angabe,2023-04-11,4
16,0,Monitoring-Planprobe,Frischobst einschließlich Rhabarber,Mandarine,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Spanien,Unverarbeitet/roh,Verpackt,2023-02-06,2
17,0,Monitoring-Planprobe,Hülsenfrüchte Ölsamen Schalenobst,Leinsamen,Einzelhändler,Deutschland,Keine Angabe,Kunststoff/-folie,2023-09-18,9
18,0,EG(KKP)- und Monitoring-Planprobe,Fleisch warmblütiger Tiere auch tiefgefroren,Leber Rind auch tiefgefroren,Schlachthof/Schlachtbetrieb,Deutschland,Unverarbeitet/roh,Kunststoff/-folie,2023-06-21,6
19,0,Monitoring-Planprobe,Frischobst einschließlich Rhabarber,Zitrone,Einzelhändler,Spanien,Keine Angabe,Keine Angabe,2023-01-23,1
21,0,Monitoring-Planprobe,Gewürze,Pfeffer schwarz Fruchtgewürz,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Ohne Angabe,Gemahlen/geschrotet,Kunststoff/-folie,2023-03-28,3
23,0,EG(KKP)- und Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Mohrrübe; Karotte; Möhre,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Niederlande,Keine Angabe,Kunststoff/-folie,2023-05-08,5
24,0,Monitoring-Planprobe,Frischobst einschließlich Rhabarber,Birne,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Belgien,Unverarbeitet/roh,Kunststoff/-folie,2023-10-11,10
25,0,Monitoring-Planprobe,Fische und Fischzuschnitte,Kabeljau Filet,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),"Norwegen, einschl. Bäreninsel und Spitzbergen, auch Svalbard",Ohne Haut,Kombinationsverpackung aus Pappe und Folie,2023-10-10,10
26,0,Monitoring-Planprobe,Frischobst einschließlich Rhabarber,Süßkirsche,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Spanien,Unverarbeitet/roh,Unverpackt,2023-07-18,7
27,0,Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Kürbis,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Deutschland,Unverarbeitet/roh,Unverpackt,2023-09-27,9
28,0,Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Feldsalat,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Niederlande,Keine Angabe,Kunststoff/-folie,2023-05-11,5
29,0,EG(KKP)- und Monitoring-Planprobe,Frischobst einschließlich Rhabarber,Birne,Lebensmittellager Zentrallager,Italien,Keine Angabe,Keine Angabe,2023-03-15,3
30,0,Monitoring-Planprobe,Obstprodukte ausgenommen 310000 und 410000 einschl. Rhabarber,Dattel getrocknet,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Ungeklärt,Keine Angabe,Keine Angabe,2023-09-15,9
31,0,EG(KKP)- und Monitoring-Planprobe,Frischobst einschließlich Rhabarber,Orange,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Italien,Keine Angabe,Karton/Pappe,2023-02-13,2
32,0,Monitoring-Planprobe,Kartoffeln und stärkereiche Pflanzenteile,Kartoffel festkochend (Salatware),Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),"Frankreich, einschl. Korsika",Unverarbeitet/roh,Gewebe aus Kunstfaser,2023-03-27,3
33,0,Monitoring-Planprobe,Kartoffeln und stärkereiche Pflanzenteile,Kartoffel festkochend (Salatware),Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Deutschland,Unverarbeitet/roh,Kunststoff/-folie,2023-02-28,2
34,0,Monitoring-Projektprobe,Obstprodukte ausgenommen 310000 und 410000 einschl. Rhabarber,Pflaume getrocknet,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Ungeklärt,Keine Angabe,Keine Angabe,2023-09-05,9
35,0,Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Feldsalat,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Italien,Unverarbeitet/roh,Kunststoff/-folie,2023-03-08,3
36,0,EG(KKP)- und Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Mohrrübe; Karotte; Möhre,Lebensmittellager Zentrallager,Deutschland,Keine Angabe,Keine Angabe,2023-07-11,7
37,0,Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Kürbis,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Deutschland,Unverarbeitet/roh,Kunststoff/-folie,2023-09-13,9
38,0,EG(KKP)- und Monitoring-Planprobe,Frischobst einschließlich Rhabarber,Orange,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Italien,Unverarbeitet/roh,Gewebe aus Kunstfaser,2023-01-23,1
40,0,Monitoring-Planprobe,Kartoffeln und stärkereiche Pflanzenteile,Kartoffel vorwiegend festkochend,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Ohne Angabe,Unverarbeitet/roh,Gewebe aus Kunstfaser,2023-02-28,2
41,0,Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Kürbis,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Deutschland,Unverarbeitet/roh,Kunststoff/-folie,2023-09-13,9
42,0,Monitoring-Planprobe,Frischobst einschließlich Rhabarber,Kiwi,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Neuseeland,Unverarbeitet/roh,Umhüllt,2023-10-24,10
43,0,Monitoring-Planprobe,Hülsenfrüchte Ölsamen Schalenobst,Mohn,Metzgereifiliale Fleischereifiliale und (eigenständige) -verkaufsabteilung,Türkei,Keine Angabe,Kunststoff/-folie,2023-09-12,9
44,0,Monitoring-Planprobe,Fischerzeugnisse,Schlankwels auch Stücke küchenmäss. vorber. auch tiefgefr.,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Vietnam,Keine Angabe,Keine Angabe,2023-10-04,10
45,0,Monitoring-Planprobe,Hülsenfrüchte Ölsamen Schalenobst,Erdnuss geröstet mit Schale,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Ägypten,Ungeschält,Verpackt,2023-02-21,2
46,0,Monitoring-Planprobe,Gemüseerzeugn. und Gemüsezuber. ausgen. Rhabarber u. 200700 u. 201700,Rotalge; Nori; Seegras (Porphyra ssp.) getrocknet,Lebensmittellager Zentrallager,Niederlande,Missing,Verpackt,2023-03-27,3
47,0,Monitoring-Planprobe,Getreideprodukte Backvormischungen Brotteige Massen und Teige für,Dinkelmehl Type 630,Hersteller von Teigwaren industriell,Deutschland,Keine Angabe,Papier,2023-03-14,3
48,0,Monitoring-Planprobe,Frischobst einschließlich Rhabarber,Johannisbeere rot,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Deutschland,Keine Angabe,Keine Angabe,2023-07-18,7
49,0,EG(KKP)- und Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Zwiebel,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Niederlande,Keine Angabe,Kunststoff/-folie,2023-04-17,4
50,0,Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Gurke,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Ungeklärt,Keine Angabe,Keine Angabe,2023-06-15,6
51,0,Monitoring-Planprobe,Frischobst einschließlich Rhabarber,Mandarine,Großhändler von Obst und Gemüse und -erzeugnissen,Israel,Keine Angabe,Kunststoff/-folie,2023-04-17,4
52,0,Monitoring-Planprobe,Getreide,Roggenkörner,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Deutschland,Gereinigt,Papier,2023-06-20,6
53,0,Monitoring-Planprobe,Frischobst einschließlich Rhabarber,Birne,Großhändler von Obst und Gemüse und -erzeugnissen,Türkei,Unverarbeitet/roh,Unverpackt,2023-08-01,8
54,0,Monitoring-Planprobe,Frischobst einschließlich Rhabarber,Birne,Großhändler von Milch und Erzeugnissen auf Milchbasis,Deutschland,Unverarbeitet/roh,Unverpackt,2023-08-29,8
55,0,Monitoring-Planprobe,Getreideprodukte Backvormischungen Brotteige Massen und Teige für,Dinkelmehl Type 630,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Deutschland,Gemahlen/geschrotet,Papier,2023-04-18,4
56,0,Monitoring-Planprobe,Gewürze,Pfeffer schwarz Fruchtgewürz,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Ungeklärt,Gemahlen/geschrotet,Glas farblos,2023-08-29,8
57,0,Monitoring-Projektprobe,Obstprodukte ausgenommen 310000 und 410000 einschl. Rhabarber,Pflaume getrocknet,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Deutschland,Getrocknet,Verpackt,2023-08-29,8
58,0,Monitoring-Planprobe,Fleisch warmblütiger Tiere auch tiefgefroren,Fleischteilstück Wildschwein auch tiefgefroren,Wildsammelstelle/Wildkammer,Deutschland,Unverarbeitet/roh,Kunststoff/-folie,2023-10-24,10
59,0,Monitoring-Projektprobe,Käse,Parmigiano Reggiano Hartkäse andere,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Deutschland,Keine Angabe,Verpackt,2023-03-10,3
60,0,EG(KKP)- und Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Mohrrübe; Karotte; Möhre,Einzelhändler,Deutschland,Unverarbeitet/roh,Keine Angabe,2023-03-07,3
61,0,Monitoring-Planprobe,Käse,Blauschimmelkäse Vollfettstufe,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Italien,Keine Angabe,Kunststoff/-folie,2023-01-10,1
62,0,Monitoring-Planprobe,Frischobst einschließlich Rhabarber,Süßkirsche,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Türkei,Unverarbeitet/roh,Unverpackt,2023-07-17,7
63,0,Monitoring-Planprobe,Hülsenfrüchte Ölsamen Schalenobst,Bohne schwarz,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),"China, einschl. Tibet",Getrocknet,Kunststoff/-folie,2023-08-09,8
64,0,Monitoring-Planprobe,Frischobst einschließlich Rhabarber,Süßkirsche,Großhändler von Obst und Gemüse und -erzeugnissen,Türkei,Unverarbeitet/roh,Keine Angabe,2023-06-29,6
66,0,Monitoring-Planprobe,Hülsenfrüchte Ölsamen Schalenobst,Mohn,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Slowakei,Getrocknet,Kombinationsverpackung aus Aluminium und Folie,2023-05-09,5
67,0,Monitoring-Planprobe,Fleisch warmblütiger Tiere auch tiefgefroren,Fleischteilstück Wildschwein auch tiefgefroren,Hersteller von Pilzerzeugnissen,Deutschland,Unverarbeitet/roh,Kunststoff/-folie,2023-10-24,10
68,0,Monitoring-Planprobe,Getreideprodukte Backvormischungen Brotteige Massen und Teige für,Weizenmehl Type 405,Direktvermarkter Getreideerzeugnisse Backwaren Teigwaren etc.,Deutschland,Gemahlen/geschrotet,Unverpackt,2023-10-12,10
69,0,Monitoring-Projektprobe,Gemüseerzeugn. und Gemüsezuber. ausgen. Rhabarber u. 200700 u. 201700,Rotalge; Nori; Seegras (Porphyra ssp.) getrocknet,Imbissbetrieb einschl. mobile Einrichtung,"Korea, Republik",Geröstet,Kunststoff/-folie,2023-11-21,11
71,0,EG(KKP)- und Monitoring-Planprobe,Fleisch warmblütiger Tiere auch tiefgefroren,Fleischteilstücke Lamm/Schaf auch tiefgefroren,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Deutschland,Gekühlt,Keine Angabe,2023-01-17,1
72,0,Monitoring-Planprobe,Käse,Blauschimmelkäse Doppelrahmstufe,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Deutschland,Keine Angabe,Keine Angabe,2023-02-01,2
74,0,Monitoring-Planprobe,Hülsenfrüchte Ölsamen Schalenobst,Mohn gemahlen,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Österreich,Gemahlen/geschrotet,Polypropylen,2023-01-04,1
76,0,Monitoring-Planprobe,Getreide,Reis ungeschliffen,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Ohne Angabe,Ungeschält,Kombinationsverpackung aus Pappe und Folie,2023-02-07,2
77,0,Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Gurke,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Niederlande,Unverarbeitet/roh,Unverpackt,2023-06-13,6
78,0,Monitoring-Planprobe,Fische und Fischzuschnitte,Kabeljau Filet,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Island,Ohne Haut,Kunststoff/-folie,2023-10-11,10
79,0,Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Bohne grüne,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Marokko,Unverarbeitet/roh,Kunststoff/-folie,2023-06-20,6
80,0,Monitoring-Planprobe,Frischobst einschließlich Rhabarber,Zitrone,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Spanien,Keine Angabe,Keine Angabe,2023-02-07,2
81,0,Monitoring-Planprobe,Gewürze,Pfeffer schwarz Fruchtgewürz,Großhändler für Lebensmitteleinzelhandel (Vollsortiment),Deutschland,Gemahlen/geschrotet,Kunststoff/-folie,2023-06-06,6
82,0,Monitoring-Planprobe,Frischobst einschließlich Rhabarber,Mandarine,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Spanien,Keine Angabe,Gewebe aus Kunstfaser,2023-01-03,1
83,0,Monitoring-Projektprobe,Gemüseerzeugn. und Gemüsezuber. ausgen. Rhabarber u. 200700 u. 201700,Rotalge; Nori; Seegras (Porphyra ssp.) getrocknet,Großhändler von Fleisch und Fleischerzeugnissen,"China, einschl. Tibet",Geröstet,Kunststoff/-folie,2023-03-30,3
84,0,Monitoring-Planprobe,Frischobst einschließlich Rhabarber,Süßkirsche,Erzeuger (Urproduktion),Deutschland,Unverarbeitet/roh,Kombinationsverpackung aus Pappe und Folie,2023-07-04,7
85,0,EG(KKP)- und Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Blumenkohl,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Spanien,Unverarbeitet/roh,Unverpackt,2023-05-24,5
86,0,Monitoring-Planprobe,Getreideprodukte Backvormischungen Brotteige Massen und Teige für,Roggenvollkornmehl,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Deutschland,Gemahlen/geschrotet,Papier,2023-01-12,1
87,0,Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Kürbis,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Deutschland,Keine Angabe,Unverpackt,2023-09-20,9
88,0,Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Blumenkohl,Großhändler von Obst und Gemüse und -erzeugnissen,Deutschland,Unverarbeitet/roh,Kunststoff/-folie,2023-07-04,7
89,0,EG(KKP)- und Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Blumenkohl,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Deutschland,Unverarbeitet/roh,Unverpackt,2023-09-19,9
90,0,Monitoring-Planprobe,Kartoffeln und stärkereiche Pflanzenteile,Kartoffel festkochend (Salatware),Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Deutschland,Keine Angabe,Keine Angabe,2023-09-26,9
91,0,Monitoring-Planprobe,Krusten- Schalen- Weichtiere sonstige Tiere u. Erzeugnisse daraus,Geißelgarnele (Penaeidae sp.),Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Vietnam,Tiefgekühlt/tiefgefroren,Verpackt,2023-02-02,2
92,0,Monitoring-Planprobe,Fische und Fischzuschnitte,Kabeljau Filet,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Deutschland,Ohne Haut,Kunststoff/-folie,2023-02-06,2
93,0,Monitoring-Planprobe,Hülsenfrüchte Ölsamen Schalenobst,Mohn,Großhändler für Lebensmitteleinzelhandel (Vollsortiment),Ohne Angabe,Getrocknet,Kombinationsverpackung aus Aluminium und Folie,2023-04-24,4
94,0,Monitoring-Planprobe,Frischobst einschließlich Rhabarber,Zitrone,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Italien,Unverarbeitet/roh,Kunststoff/-folie,2023-02-07,2
95,0,Monitoring-Projektprobe,Käse,Grana Padano Hartkäse andere,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Italien,Keine Angabe,Keine Angabe,2023-05-22,5
96,0,Monitoring-Planprobe,Krusten- Schalen- Weichtiere sonstige Tiere u. Erzeugnisse daraus,Miesmuschelerzeugnisse,Metzgereifiliale Fleischereifiliale und (eigenständige) -verkaufsabteilung,Chile,Tiefgekühlt/tiefgefroren,Verpackt,2023-02-09,2
98,0,Monitoring-Planprobe,Gemüseerzeugn. und Gemüsezuber. ausgen. Rhabarber u. 200700 u. 201700,Grüne Bohne tiefgefroren,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Deutschland,Tiefgekühlt/tiefgefroren,Kunststoff/-folie,2023-06-06,6
99,0,Monitoring-Planprobe,Getreideprodukte Backvormischungen Brotteige Massen und Teige für,Dinkelmehl Type 630,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Ungeklärt,Gemahlen/geschrotet,Papier,2023-04-12,4
100,1,EG(KKP)- und Monitoring-Planprobe,Fleisch warmblütiger Tiere auch tiefgefroren,Leber Rind auch tiefgefroren,Hersteller von Fleisch und Fleischerzeugnissen,Deutschland,Keine Angabe,Keine Angabe,2023-03-06,3
101,0,Monitoring-Planprobe,Obstprodukte ausgenommen 310000 und 410000 einschl. Rhabarber,Dattel getrocknet,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Deutschland,Keine Angabe,Keine Angabe,2023-09-19,9
102,0,Monitoring-Planprobe,Hülsenfrüchte Ölsamen Schalenobst,Bohne weiß,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Ungeklärt,Getrocknet,Verpackt,2023-01-18,1
103,0,Monitoring-Planprobe,Gewürze,Pfeffer schwarz Fruchtgewürz,Lebensmittellager Zentrallager,Ungeklärt,Gemahlen/geschrotet,Keine Angabe,2023-08-10,8
104,0,Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Kürbis,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Spanien,Unverarbeitet/roh,Unverpackt,2023-12-13,12
105,0,Monitoring-Planprobe,Frischobst einschließlich Rhabarber,Zitrone,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Spanien,Keine Angabe,Unverpackt,2023-02-07,2
106,0,Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Endivie,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Italien,Unverarbeitet/roh,Unverpackt,2023-01-09,1
107,0,EG(KKP)- und Monitoring-Planprobe,Frischobst einschließlich Rhabarber,Orange,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Spanien,Keine Angabe,Kunststoff/-folie,2023-05-02,5
108,0,Monitoring-Planprobe,Fische und Fischzuschnitte,Kabeljau Stück,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Island,Ohne Haut,Kunststoff/-folie,2023-05-10,5
109,0,Monitoring-Planprobe,Fleisch warmblütiger Tiere auch tiefgefroren,Brust Ente auch tiefgefroren,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Polen,Tiefgekühlt/tiefgefroren,Kunststoff/-folie,2023-12-15,12
110,0,Monitoring-Projektprobe,Gewürze,Süßholzwurzel Wurzelgewürz,Reformhaus/Naturkostladen,Deutschland,Keine Angabe,Papier,2023-06-13,6
111,0,Monitoring-Planprobe,Gewürze,Pfeffer schwarz Fruchtgewürz,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Ungeklärt,Gemahlen/geschrotet,Glas,2023-06-20,6
112,0,Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Mohrrübe; Karotte; Möhre,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Deutschland,Keine Angabe,Unverpackt,2023-08-07,8
113,0,EG(KKP)- und Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Mohrrübe; Karotte; Möhre,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Deutschland,Unverarbeitet/roh,Kunststoff/-folie,2023-01-31,1
114,0,Monitoring-Planprobe,Hülsenfrüchte Ölsamen Schalenobst,Bohne rot,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Deutschland,Getrocknet,Kunststoff/-folie,2023-04-25,4
115,0,Monitoring-Planprobe,Kartoffeln und stärkereiche Pflanzenteile,Kartoffel festkochend (Salatware),Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Deutschland,Keine Angabe,Keine Angabe,2023-02-23,2
116,0,Monitoring-Planprobe,Fleisch warmblütiger Tiere auch tiefgefroren,Fleischteilstücke Lamm/Schaf auch tiefgefroren,Fleischerei/Metzgerei ohne Schlachthaus,Ohne Angabe,Keine Angabe,Keine Angabe,2023-05-24,5
118,0,Monitoring-Planprobe,Hülsenfrüchte Ölsamen Schalenobst,Bohne weiß,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Ungeklärt,Getrocknet,Verpackt,2023-01-09,1
119,0,Monitoring-Planprobe,Frischobst einschließlich Rhabarber,Mandarine,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Spanien,Unverarbeitet/roh,Verpackt,2023-02-13,2
121,0,Monitoring-Planprobe,Frischobst einschließlich Rhabarber,Zitrone,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Italien,Unbehandelt,Gewebe aus Naturfaser,2023-01-17,1
122,0,EG(KKP)- und Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Blumenkohl,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Deutschland,Unverarbeitet/roh,Unverpackt,2023-07-19,7
123,0,Monitoring-Projektprobe,Obstprodukte ausgenommen 310000 und 410000 einschl. Rhabarber,Dattel getrocknet,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Tunesien,Entsteint/entstielt,Kunststoff/-folie,2023-03-21,3
124,0,Monitoring-Planprobe,Hülsenfrüchte Ölsamen Schalenobst,Erdnuss geröstet mit Schale,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Israel,Keine Angabe,Keine Angabe,2023-06-06,6
125,0,EG(KKP)- und Monitoring-Planprobe,Kartoffeln und stärkereiche Pflanzenteile,Kartoffel festkochend (Salatware),Abpacker von Obst und/oder Gemüse,Deutschland,Unverarbeitet/roh,Papier,2023-02-22,2
126,0,Monitoring-Projektprobe,Obstprodukte ausgenommen 310000 und 410000 einschl. Rhabarber,Pflaume getrocknet,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Vereinigte Staaten von Amerika,Ungeschwefelt,Kunststoff/-folie,2023-09-04,9
127,0,EG(KKP)- und Monitoring-Planprobe,Säuglings- und Kleinkindernahrungen,Säuglingsmilchnahrung,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Ungeklärt,Verzehrsfertig/tischfertig vor-/zubereitet,Keine Angabe,2023-02-14,2
